"Station (ie. WABC-AM  WCBS-FM)"," Home Nielsen Audio MSA"," Primary Format"," Simulcast"," Bdcasts in HD"," Multicasts"," Group Owner"," LMA",
"KUTI-AM","Seattle-Tacoma","Adult Standards","","No","","BJ and Skip`s For The Music","",
"KCIN-FM","","Country","KIYKFM","No","","Townsquare Media","",
"KBRF-AM","","Talk","","No","","Leighton Enterprises, Inc.","",
"KXSC-FM","San Jose","Classical","","Yes","","University of Southern California","",
"KBRH-AM","Baton Rouge","R&B Classic","","No","","East Baton Rouge Parish School","",
"KBRJ-FM","Anchorage","Country","","No","","Connoisseur Media, LLC","",
"KBRK-AM","","Adult Standards","","No","","Connoisseur Media, LLC","",
"KBRK-FM","","Hot AC","","No","","Connoisseur Media, LLC","",
"KBRL-AM","","Talk","","No","","Armada Media","",
"KBRN-AM","San Antonio","Classic Hits","","No","","Bofars Media Group, LLC","",
"KBRO-AM","Seattle-Tacoma","Spanish Contemporary Christian","","No","","La Estacion De La Familia","",
"KBRQ-FM","Waco, TX","Rock","","No","","iHeartMedia, Inc.","",
"KXNA-FM","Fayetteville (North West Arkansas)","Modern/Alternative Rock","","No","","Rox Radio Group","",
"KBRT-AM","Los Angeles","Religious Teaching","KNSNAM","Yes","","Crawford Broadcasting Co.","",
"KSRC-FM","Denver-Boulder","Contemporary Christian","","No","","Pillar Media","",
"KBRV-AM","","Classic Country","","Yes","","Val Cook","",
"KBRX-AM","","Classic Hits","","No","","Ranchland Broadcasting, Inc.","",
"KBRX-FM","","Country","","Yes","","Ranchland Broadcasting, Inc.","",
"KBRZ-AM","Houston-Galveston","Ethnic","","No","","Aleluya Broadcasting Network","Rajput Media Services, Inc.",
"KTKC-AM","Shreveport","Spanish Religious Teaching","KHCBAM","No","","Houston Christian Broadcasters","",
"KMIA-AM","Seattle-Tacoma","Spanish Religious Teaching","","No","","Bustos Media Corporation","Hispanic Multi Media",
"KIRO-FM","Seattle-Tacoma","News/Talk","","Yes","HD2:Sports-Seattle Sports","Bonneville International","",
"KBSN-AM","","Country","","No","","Jacobs Radio Programming","",
"KBSO-FM","Corpus Christi","Classic Hits","","No","","Davila Broadcasting, Inc.","",
"KBST-AM","","Talk","","No","","KBEST Media, LLC","",
"KBST-FM","","Country","","No","","KBEST Media, LLC","",
"KSWG-FM","Phoenix","Country","","No","","Barna Broadcasting, LLC","",
"KBTA-AM","","Adult Standards","","No","","WRD Entertainment, Inc.","",
"KBTC-AM","","Talk","","No","","Media Professional, LLC","",
"KBTM-AM","","News/Talk","","No","","East Arkansas Broadcasters","",
"KBTN-AM","Joplin, MO","Sports","KSEKFM","No","","American Media Investments, Inc.","",
"KBTN-FM","Joplin, MO","Classic Country","","No","","American Media Investments, Inc.","",
"KBTO-FM","","Country","","No","","Programmers Broadcasting, Inc.","",
"KBTS-FM","","Hot AC","","No","","KBEST Media, LLC","",
"KBBT-FM","San Antonio","Rhythmic-CHR","","Yes","","TelevisaUnivision, Inc","",
"KBUE-FM","Los Angeles","Spanish Regional Mexican","KBUAFM/KEBNFM","No","","Mediaco Holding Inc.","",
"KBUF-AM","","Talk","","No","","Murfin Media, Inc.","",
"KCVJ-FM","","Contemporary Christian","","No","","University of Northwestern St. Paul","",
"KBUK-FM","","Classic Country","KVLGAM","No","","KBUK Radio, Inc.","",
"KBUL-FM","Reno","Country","","No","","Cumulus Media, Inc.","",
"KBUN-AM","","Sports","","No","","Hubbard Broadcasting, Inc.","",
"KBUR-AM","","Talk","","No","","Pritchard Broadcasting Corp.","",
"KBUS-FM","","Classic Rock","","No","","East Texas Broadcasting, Inc.","",
"KBUX-FM","","Oldies","","No","","Dennis Vosper","",
"KBUY-AM","","Classic Hits","","No","","MTD, Inc.","",
"KMXJ-FM","Amarillo, TX","Adult Contemporary","","No","","Townsquare Media","",
"KBVA-FM","Fayetteville (North West Arkansas)","Classic Hits","","Yes","","Rox Radio Group","",
"KBWD-AM","","Adult Contemporary","","No","","Jamar Media, Inc.","",
"KBWS-FM","","Country","","No","","Hub City Radio","",
"KBXL-FM","Boise","Religious Teaching","","No","","University of Northwestern St. Paul","",
"KOQL-FM","Columbia, MO","Rhythmic-CHR","","No","","Cumulus Media, Inc.","",
"KBXX-FM","Houston-Galveston","Rhythmic-CHR","","Yes","","Radio One / Urban One","",
"KMRX-FM","","Classic Hits","","No","","Noalmark Broadcasting Corp.","",
"KTLR-AM","Oklahoma City","Talk","","No","","Tyler Broadcasting Corp.","",
"KBYG-AM","","Classic Rock","","No","","Big Spring TX Media LLC","",
"KBYN-FM","Modesto","Spanish Regional Mexican","","No","","La Favorita Broadcasting, Inc.","",
"KLSM-FM","","Hot AC","","No","","Holladay Broadcasting of Louisiana, LLC","",
"KBYR-AM","Anchorage","Talk","","No","","Ohana Media Group, LLC","",
"KBYZ-FM","Bismarck, ND","Classic Rock","","No","","Townsquare Media","",
"KBZE-FM","","Urban Adult Contemporary","","No","","Hubcast Broadcasting, Inc.","",
"KBZN-FM","Salt Lake City-Ogden-Provo","Hot AC","","No","","Capitol Broadcasting Co.","",
"KBZO-AM","Lubbock","Spanish Sports","","No","","Entravision Communications Corp.","",
"KBZQ-FM","","Adult Contemporary","","No","","Fuchs Broadcasting Co.","",
"KZON-FM","Phoenix","Hot AC","KMVAFM","No","HD2:Adult Alternative-94.9 The Zone / HD3:Classic Hip Hop-Power 98.3 & 96.1","Zelus Esports LLC","",
"KBZT-FM","San Diego","Modern/Alternative Rock","","Yes","HD2:Urban Contemporary-Bob Radio (Reggae) / HD3:Club/EDM/Techno-Glow San Diego","Audacy","",
"KBZY-AM","Portland, OR","Classic Hits","","No","","RISE 95, LLC","",
"KBLJ-AM","","Variety","","No","","Thunder Media, Inc.","",
"KCAB-AM","","Adult Hits","","No","","East Arkansas Broadcasters","Arkansas River Valley Radio, LLC",
"KCAL-AM","Riverside-San Bernardino","Spanish Regional Mexican","","No","","Lazer Media","",
"KCAL-FM","Riverside-San Bernardino","Rock","","No","","Anaheim Broadcasting Corp.","",
"KCAM-AM","","Variety","","No","","Joy Media Ministries","",
"KOCP-FM","Oxnard-Ventura","R&B Classic","","No","","Point Broadcasting Co.","",
"KHDY-AM","","News/Talk","","No","","American Media Investments, Inc.","",
"KCAT-AM","","R&B Classic","","No","","BROADCAST INDUSTRY GROUP, LLC","",
"KRSL-FM","","Hot AC","","No","","White Communications, LLC","",
"KCZZ-AM","Kansas City","Spanish Adult Contemporary","","No","","Reyes Media Group","",
"KCBC-AM","Stockton","Religious Teaching","","Yes","","Crawford Broadcasting Co.","",
"KCBF-AM","","Sports","","No","","Tor Ingstad","I3G Media, Inc.",
"KBZZ-AM","Reno","Modern/Alternative Rock","","No","","Reno Media Group","",
"KCBQ-AM","San Diego","Talk","","No","","Salem Media Group","",
"KIOZ-FM","San Diego","Rock","","Yes","","iHeartMedia, Inc.","",
"KPPF-AM","Colorado Springs","Talk","","Yes","","POWER 95.7, LLC","",
"KCBS-AM","San Francisco","News","KFRCFM","Yes","","Audacy","",
"KCBS-FM","Los Angeles","Adult Hits","","Yes","HD2:Country-K-Frog / HD3:Sports-CBS Sports Radio","Audacy","",
"KBGE-FM","","Adult Alternative","","No","","CAPTAIN BARBOSA MEDIA, LLC","",
"KDXU-FM","","Talk","KDXUAM","No","","Townsquare Media","",
"KCCB-AM","","Smooth Jazz","","No","","Shields-Adkins Broadcasting, Inc.","",
"KCCC-AM","","Classic Country","","No","","Chandler Broadcasting Llc.","",
"KKEA-AM","Honolulu","Sports","","No","","Blow Up, LLC","",
"KCCN-FM","Honolulu","Ethnic","","Yes","HD2:Spanish CHR-Mega 104.7","SummitMedia, LLC","",
"KCYZ-FM","Des Moines","Hot AC","","No","","iHeartMedia, Inc.","",
"KCCR-AM","","Adult Contemporary","","No","","Riverfront Broadcasting, LLC","",
"KSLM-AM","Portland, OR","Talk","","No","","KCCS, LLC","",
"KCCT-AM","Corpus Christi","Spanish Regional Mexican","","No","","Davila Broadcasting, Inc.","",
"KCCV-AM","Kansas City","Religious Teaching","","No","","Bott Broadcasting Co.","",
"KCCV-FM","Kansas City","Religious Teaching","","No","","Bott Broadcasting Co.","",
"KCCY-FM","Colorado Springs","Country","","Yes","","iHeartMedia, Inc.","",
"KCDA-FM","Spokane","Hot AC","","Yes","","iHeartMedia, Inc.","",
"KCDD-FM","","Rhythmic-CHR","","No","","Cumulus Media, Inc.","",
"KSZR-FM","Tucson","Classic Hip Hop","","Yes","","Cumulus Media, Inc.","",
"KCLI-FM","","Talk","","No","","Wright Broadcasting Systems, Inc.","",
"KFZX-FM","Odessa-Midland, TX","Classic Hits","","No","","ICA Media, LLC","",
"KLOC-AM","Modesto","Spanish Regional Mexican","","No","","La Favorita Broadcasting, Inc.","",
"KCDY-FM","","Hot AC","","No","","Hughes Broadcasting, Inc.","",
"KCDZ-FM","Victor Valley","Hot AC","","No","","Morongo Basin Broadcasting Corp.","",
"KGMS-AM","Tucson","Religious Teaching","","No","","Wilkins Communications","",
"KCEO-AM","San Diego","Religious Teaching","","No","","Relevant Radio","",
"KKCN-FM","San Angelo, TX","Country","","No","","Townsquare Media","",
"KTHU-FM","Chico, CA","Classic Rock","","No","","Results Radio, LLC","",
"WWWM-FM","Minneapolis-St. Paul","Soft AC","WGVXFM","Yes","","Cumulus Media, Inc.","",
"KCFO-AM","Tulsa","Religious Teaching","","No","","Stephens Media Group","",
"KCFX-FM","Kansas City","Classic Rock","","Yes","HD3:Contemporary Christian-Air1 / HD4:Sports-SportsRadio 810","Cumulus Media, Inc.","",
"KCGB-FM","","Hot AC","","No","","Bicoastal Media, LLC","",
"KCGM-FM","","Country","","No","","Prairie Communications, Inc.","",
"KZOY-AM","","Adult Hits","","No","","Cup O'Dirt, LLC","",
"KCGN-FM","","Religious Teaching","KBHLFM","No","","Christian Heritage Broadcasting, Inc.","",
"KGIR-AM","","Sports","","No","","Max Broadcast Group Holdings, LLC","",
"KCGQ-FM","","Rock","","No","","Max Broadcast Group Holdings, LLC","",
"KMME-FM","Eugene-Springfield","Religious Teaching","KBVMFM","No","","Catholic Broadcasting Northwest, Inc.","",
"KCGY-FM","Cheyenne, WY","Country","","No","","Townsquare Media","",
"KCHA-AM","","Oldies","","No","","Achen Becker Media, LLC","",
"KCHA-FM","","Adult Contemporary","","No","","Achen Becker Media, LLC","",
"KCHE-AM","","Adult Standards","","No","","Better Broadcasting, Inc.","",
"KCHE-FM","","Classic Hits","","No","","Better Broadcasting, Inc.","",
"KYTY-AM","San Antonio","Contemporary Christian","","No","","Maranatha Broadcasting","",
"KCHI-AM","","Classic Hits","KCHIFM","No","","Leatherman Communications, Inc.","",
"KCHI-FM","","Classic Hits","KCHIAM","No","","Leatherman Communications, Inc.","",
"KCHJ-AM","Bakersfield","Spanish Oldies","","No","","Lotus Communications Corp.","",
"KCHK-AM","Minneapolis-St. Paul","Classic Country","KCHKFM","No","","Tor Ingstad","",
"KCHK-FM","Minneapolis-St. Paul","Classic Country","KCHKAM","No","","Tor Ingstad","",
"KCHL-AM","San Antonio","Inspirational Gospel","","No","","Darrell E. Martin","",
"KCHS-AM","Las Cruces-Deming, NM","Adult Contemporary","","No","","Radio New Mexico","",
"KXGA-FM","","News/Talk","","No","","Terminal Radio, Inc.","",
"KCHX-FM","Odessa-Midland, TX","Spanish Regional Mexican","","No","","ICA Media, LLC","",
"KCID-AM","Boise","Spanish Religious Teaching","","No","","Salt & Light Radio, Inc.","",
"KTHI-FM","Boise","Classic Country","","No","","Lotus Communications Corp.","",
"KCII-AM","","Classic Hits","KCIIFM","No","","M & H Broadcasting, Inc.","",
"KCII-FM","","Classic Hits","KCIIAM","No","","M & H Broadcasting, Inc.","",
"KUMX-FM","","Adult Contemporary","","No","","West Central Broadcasting Co., Inc.","",
"KNOL-FM","New Orleans","Contemporary Christian","","No","","K-Love, Inc.","",
"KCIM-AM","","Classic Hits","","No","","Carroll Broadcasting Co.","",
"KBKS-FM","Seattle-Tacoma","CHR","","Yes","HD2:Rhythmic-CHR- 	Pride Radio","iHeartMedia, Inc.","",
"KCIS-AM","Seattle-Tacoma","Religious Teaching","","No","","Crista Media","",
"KCIV-FM","","Religious Teaching","","No","","Bott Broadcasting Co.","",
"KCIX-FM","Boise","Hot AC","","No","","Townsquare Media","",
"WDAF-FM","Kansas City","Country","","Yes","HD2:Sports-The Fan AM 610","Audacy","",
"KCJB-AM","","Classic Country","","No","","iHeartMedia, Inc.","",
"KCJC-FM","","Country","","No","","East Arkansas Broadcasters","Arkansas River Valley Radio, LLC",
"KTKX-FM","San Antonio","Classic Rock","","Yes","","Cox Media Group","",
"KPWK-AM","Riverside-San Bernardino","Sports","","No","","iHeartMedia, Inc.","",
"KVOO-FM","Tulsa","Classic Country","","Yes","","GRIFFIN MEDIA","",
"KQBU-FM","Dallas-Ft. Worth","Spanish Adult Contemporary","KDXXFM","Yes","","TelevisaUnivision, Inc","",
"KCKL-FM","","Country","","No","","High Plains Radio Network, LLC","Zula Com, LLC",
"KCKN-AM","","Spanish Religious Teaching","WWRVAM","No","","Radio Vision Cristiana Management","",
"KBGO-FM","Waco, TX","Classic Hits","","Yes","HD2:Rhythmic-CHR-Z95.1","iHeartMedia, Inc.","",
"KNCK-FM","Salina-Manhattan, KS","Hot AC","","No","","White Communications, LLC","",
"KCKX-AM","Portland, OR","Spanish Contemporary Christian","","No","","La Estacion De La Familia","",
"KNWZ-AM","Palm Springs","Talk","KNWHAM/KNWQAM","No","","Connoisseur Media, LLC","",
"KCLB-FM","Palm Springs","Rock","KCLZFM","No","","Connoisseur Media, LLC","",
"KCLD-FM","St. Cloud, MN","CHR","","No","","Leighton Enterprises, Inc.","",
"KCPP-AM","Dallas-Ft. Worth","Religious Teaching","","No","","La Promesa Foundation","",
"KTFW-FM","","Classic Country","","No","","LKCM Radio Group","",
"KCLF-AM","","Urban Adult Contemporary","","No","","New World Broadcasting Co., Inc.","",
"KWEY-FM","","Country","","Yes","HD2:Classic Country-Coyote Classic 1590 AM 100.3 FM / HD3:Classic Rock-101.7 The Zoo / HD4:Sports-The Score","Wright Broadcasting Systems, Inc.","",
"KCLK-AM","","Sports","","No","","DailyFly","",
"KCLK-FM","","Country","","No","","DailyFly","",
"KMCN-FM","","Adult Hits","","No","","Gendreau Broadcasting","",
"KCLQ-FM","","Country","","No","","Go Productions, LLC","",
"KCLR-FM","Columbia, MO","Country","","No","","Zimmer Radio of Mid-Missouri, Inc.","",
"KCLT-FM","","Urban Adult Contemporary","KAKJFM/WNEVFM","No","","Delta Force II Radio","",
"KCLV-AM","","Talk","","No","","Zia Broadcasting LLC","",
"KCLV-FM","","Country","","No","","Zia Broadcasting LLC","",
"KCLW-AM","","Silent","","No","","CTI Media Productions LLC","",
"KCLX-AM","","Classic Country","","No","","Ida-Vend Communications Group","",
"KLQV-FM","San Diego","Spanish Adult Contemporary","","Yes","","TelevisaUnivision, Inc","",
"KCLY-FM","Salina-Manhattan, KS","Adult Contemporary","","No","","Taylor Communications, Inc.","",
"KTLS-FM","","Classic Rock","","No","","Chickasaw Nation","",
"KCMB-FM","","Country","","No","","Elkhorn Media Group","",
"KCMC-AM","","Sports","","No","","Local First Media Group","Texarkana Media Group",
"KFDS-FM","","Adult Hits","","No","","A&D Incorporated","",
"KCMI-FM","","Religious Teaching","","No","","Christian Media, Inc.","",
"KNWQ-AM","","Talk","KNWZAM","No","","Connoisseur Media, LLC","",
"KKUU-FM","Palm Springs","Rhythmic-CHR","","Yes","HD2:Sports-ESPN 103.9","Connoisseur Media, LLC","",
"KQSC-AM","Colorado Springs","Classic Hits","KDZAAM","Yes","","Mountain Radio Group, Inc.","",
"WHB-AM","Kansas City","Sports","","No","","Union Broadcasting, Inc.","",
"KCMO-FM","Kansas City","Classic Hits","","Yes","HD2:Adult Hits-102.5 Jack FM","Cumulus Media, Inc.","",
"KCMQ-FM","Columbia, MO","Classic Rock","","No","","Zimmer Radio of Mid-Missouri, Inc.","",
"KCMS-FM","Seattle-Tacoma","Contemporary Christian","","Yes","HD2:Contemporary Christian-LIFT Radio / HD3:Religious Teaching-KCIS 630","Crista Media","",
"KWLU-FM","Chico, CA","Contemporary Christian","","No","","K-Love, Inc.","",
"KTMT-AM","","Sports","","No","","Stephens Media Group","",
"KCMX-FM","","Soft AC","","No","HD3:CHR-Hits 93.3","Stephens Media Group","",
"KCNA-FM","","Classic Hits","","No","","Opus Broadcasting Systems, Inc.","",
"KCNI-AM","","Country","","No","","David J. Birnie","",
"KGFK-AM","","Classic Rock","","No","","Leighton Enterprises, Inc.","",
"KCFJ-AM","","Talk","","No","","James Su","",
"KCNQ-FM","Bakersfield","Country","","No","","Asha Faith James Company","",
"KNIT-AM","Salt Lake City-Ogden-Provo","Religious Teaching","","No","","Hi-Line Radio Fellowship, Inc.","",
"KCNW-AM","Kansas City","Religious Teaching","","No","","Wilkins Communications","",
"KCFI-AM","Waterloo-Cedar Falls, IA","Oldies","","No","","Coloff Media","",
"KCOB-AM","Des Moines","Classic Hits","","No","","Connoisseur Media, LLC","",
"KCOB-FM","Des Moines","Country","","No","","Connoisseur Media, LLC","",
"KCOG-AM","","Classic Rock","","No","","Iowa Media Network LLC","",
"KSHJ-AM","Houston-Galveston","Religious Teaching","","No","","La Promesa Foundation","",
"KIIX-AM","Ft. Collins-Greeley, CO","Classic Country","","No","","iHeartMedia, Inc.","",
"KCOM-AM","","Classic Country","","No","","Villecom, LLC","",
"KXTN-AM","San Antonio","Spanish Regional Mexican","","No","","Latino Media Network, LLC","",
"KCOW-AM","","Classic Hits","","No","","Eagle Radio, Inc.","",
"KCPI-FM","","Adult Contemporary","","No","","Connoisseur Media, LLC","",
"KBRD-AM","Seattle-Tacoma","Adult Standards","","No","","BJ and Skip`s For The Music","",
"KCPS-AM","","Talk","","No","","John M. Giannettino","",
"KTUB-AM","Salt Lake City-Ogden-Provo","Silent","","No","","Linda De Romanett","",
"KCQL-AM","","Sports","","No","","iHeartMedia, Inc.","",
"KCQQ-FM","Quad Cities (Davenport-Rock Island- Moline)","Classic Hits","","No","","iHeartMedia, Inc.","",
"KZTK-FM","Fargo-Moorhead","Country","","No","","Vision Media, Inc.","",
"KCRC-AM","","Sports","KZLSAM","No","","Chisholm Trail Broadcasting Co.","",
"KCRE-FM","","Adult Contemporary","","No","","Bicoastal Media, LLC","",
"KCRF-FM","","Rock","","No","","Xana Oregon, LLC","",
"KGYM-AM","Cedar Rapids","Sports","","Yes","","KZIA, Inc.","",
"KCRK-FM","","Hot AC","","No","","North Country Broadcasting, Inc.","",
"KWLL-FM","Lafayette, LA","Oldies","","No","","Shelley H & Philip Lizotte","",
"KCCE-AM","San Angelo, TX","Spanish Religious Teaching","KHCBAM","No","","Houston Christian Broadcasters","",
"KCRO-AM","Omaha-Council Bluffs","Religious Teaching","","No","","Walnut Radio, LLC","",
"KCRR-FM","Waterloo-Cedar Falls, IA","Classic Rock","","No","","Townsquare Media","",
"KCRS-AM","Odessa-Midland, TX","Talk","","No","","ICA Media, LLC","",
"KCRS-FM","Odessa-Midland, TX","Rhythmic-CHR","","No","","ICA Media, LLC","",
"KCRT-AM","","Adult Hits","","No","","Phillips Broadcasting Inc.","",
"KCRT-FM","","Classic Rock","","No","","Phillips Broadcasting Inc.","",
"KCRV-AM","","Classic Country","","No","","Pollack Broadcasting Co.","",
"KHYT-FM","Tucson","Classic Hits","","Yes","","Cumulus Media, Inc.","",
"KCSI-FM","","Country","KOAKAM","No","","Ozark Communications, Inc.","",
